Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class
Senna Wattle,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
a shrub,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Diels' Wattle,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Velvet Wattle,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Purple-flowered Wattle,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Bolivia Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Dwarf Rock Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Recurved Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Kundip Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Neat Wattle, Resin Wattle (SA)",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Rupp's Wattle,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Wundowlin Wattle, Ghost Wattle",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Spiller's Wattle,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
"Splendid Wattle, Dandaragan Wattle",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Hairy-stemmed Zig-Zag Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Sunshine Wattle (Sydney region),Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
a shrub,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Vassal's Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Tangled Wattle, Tangle Wattle",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Whibley Wattle, Whibley's Wattle",Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Wilson's Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Woodman's Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Slender-billed Thornbill (Gulf St Vincent),Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves
Kangaroo Island Striated Thornbill,Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves
"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Aves
"Spiny Everlasting, Spiny Daisy",Critically Endangered,-,Yes,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Plains Death Adder,Vulnerable,-,-,Yes,Yes,-,-,-,Yes,Animalia,Reptilia
"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,-,-,-,-,-,Yes,-,-,Animalia,Aves
Christmas Island Goshawk,Endangered,-,-,-,-,-,-,-,-,Animalia,Aves
"Chaff Tree, Soft-wood",Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
Phillip Island Chaffy Tree,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Extinct,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Pale Chandelier Orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Scented Acronychia,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Desert Flannel-flower,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Brigalow Woodland Snail,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Gastropoda
"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Gastropoda
Dulacca Woodland Snail,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Gastropoda
Fitzgerald Woollybush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Oval-leaf Adenanthos,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Toolinna Adenanthos,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Sprawling Spiky Adenanthos,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Spiky Adenanthos,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Velvet Woollybush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Campbell's Keeled Glass-snail,Critically Endangered,-,-,-,-,-,-,-,-,Animalia,Gastropoda
"Short-nosed Sea Snake, Short-nosed Seasnake",Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
Dusky Sea Snake,Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
Isis Tamarind,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Dwarf Heath Casuarina,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Woolly Sheoak,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Nielsen Park She-oak,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Mount Compass Oak-bush,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Nabiac Casuarina,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Twisted Sheoak,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Torrington Pea,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Yass Daisy,Vulnerable,Yes,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Ammonite Pinwheel Snail,Critically Endangered,-,-,-,-,-,Yes,-,-,Animalia,Gastropoda
-,Extinct,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,-,Yes,-,-,Yes,Yes,Yes,-,Plantae,Liliopsida
-,Extinct,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
"Whitesnout Anemonefish, McCulloch's Anemonefish",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Actinopterygii
-,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,-,Yes,-,Yes,Yes,-,-,-,Animalia,Aves
Carpentarian Grasswren,Endangered,-,-,Yes,Yes,-,-,-,-,Animalia,Aves
Short-tailed Grasswren (Flinders Ranges),Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves
"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,-,-,-,-,Yes,-,-,-,Animalia,Aves
Thick-billed Grasswren,Vulnerable,-,Yes,Yes,-,Yes,-,-,-,Animalia,Aves
"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Aves
"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,-,Yes,-,-,Yes,-,Yes,-,Animalia,Aves
"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Aves
Western Grasswren (Gawler Ranges),Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves
"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,-,-,Yes,-,-,-,-,-,Animalia,Aves
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Giant Andersonia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Slender Andersonia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Two Peoples Bay Andersonia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Straggling Androcalva,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Headland Commersonia,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Pearl-like Androcalva,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Sandy Hollow Commersonia,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Charmhaven Apple,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Sandstone Rough-barked Apple,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Dwarf Green Kangaroo Paw,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Fassifern Blind Snake,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,-,Yes,-,Yes,-,-,-,-,Animalia,Reptilia
Australian Lesser Noddy,Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Aves
Silver-headed Antechinus,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Mammalia
Black-tailed Antechinus,Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Mammalia
Fawn Antechinus,Vulnerable,-,-,Yes,-,-,-,-,-,Animalia,Mammalia
Swamp Antechinus (mainland),Vulnerable,-,-,-,-,Yes,-,Yes,-,Animalia,Mammalia
Slender Tailflower,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Kangaroo Island Little Wattlebird,Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves
Regent Honeyeater,Critically Endangered,Yes,Yes,-,Yes,Yes,-,Yes,-,Animalia,Aves
Phillip Island Wheat Grass,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Insecta
"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Polypodiatae
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Southern Whiteface,Vulnerable,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Animalia,Aves
"Fine-leaved Apium, Porongurup Celery",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Tasman Starling,Extinct,-,Yes,-,-,-,-,-,-,Animalia,Aves
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
an aquatic herb,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
"Eared Worm-lizard, Mallee Worm-lizard",Endangered,-,-,-,-,Yes,-,Yes,-,Animalia,Reptilia
"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Yes,Yes,-,-,-,-,Yes,-,Animalia,Reptilia
Flinders Ranges Worm-lizard,Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Reptilia
"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Aves
"Bacon Wood, Tulip Siris",Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Myola Palm, Myola Archontophoenix",Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Subantarctic Fur-seal,Endangered,-,-,-,-,-,Yes,-,-,Animalia,Mammalia
Sooty Shearwater,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Ruddy Turnstone,Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Australian Fritillary,Critically Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Insecta
Shining Cudweed,Vulnerable,-,Yes,-,-,-,Yes,Yes,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Thompson's wiregrass,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Hairy-joint Grass,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Liliopsida
Trailing Woodruff,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Kangaroo Island Woodruff,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Maidenhair Spleenwort,Vulnerable,-,-,-,-,-,Yes,Yes,-,Plantae,Polypodiatae
Christmas Island Spleenwort,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Polypodiatae
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
Pouched Frog,Vulnerable,-,Yes,-,Yes,-,-,-,-,Animalia,Amphibia
"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Amphibia
"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,-,-,-,-,-,Yes,-,-,Animalia,Malacostraca
Tall Astelia,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
White Star-bush,Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Dungowan Starbush,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Bindoon Starbush,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Downy Star-bush,Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida
Thick-leaf Star-hair,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Long-leaf Star-hair,Critically Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Wingan Star-hair,Endangered,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
-,Critically Endangered,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Yarwun Whitewood,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Noisy Scrub-bird, Tjimiluk",Endangered,-,-,-,-,-,-,-,Yes,Animalia,Aves
Rufous Scrub-bird,Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Aves
-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
Sydney Hawk Dragonfly,Endangered,-,Yes,-,-,-,-,-,-,Animalia,Insecta
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
-,Vulnerable,-,Yes,-,-,Yes,-,Yes,-,Plantae,Liliopsida
-,Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
"Macquarie Azorella, Macquarie Cushions",Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
a shrub,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Sei Whale,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia
Blue Whale,Endangered,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia
Fin Whale,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia
Southern Shepherd's Purse,Endangered,-,-,-,-,-,Yes,Yes,-,Plantae,Magnoliopsida
"Marbled Balogia, Jointed Baloghia",Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Dense Cord-rush,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Cactus Dryandra,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Orange Dryandra,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Brown's Banksia, Feather-leaved Banksia",Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Matchstick Banksia, Quairading Banksia",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Dark-bract Banksia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Good's Banksia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Kamballup Dryandra,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Summer Honeypot,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Stirling Range Dryandra,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Swamp Honeypot,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Wagin Banksia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
a banksia,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
a banksia,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
False Plumed-Banksia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Northern Serrate Dryandra,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Southern Serrate Dryandra,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Ironcaps Banksia, Ironcap Banksia",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Whicher Range Dryandra,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Native Wintercress, Riverbed Wintercress",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
Arnhem Land Egernia,Endangered,-,-,Yes,-,-,-,-,-,Animalia,Reptilia
Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Arachnida
Tingle Pygmy Trapdoor Spider,Endangered,-,-,-,-,-,-,-,Yes,Animalia,Arachnida
a shrub,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Mt Ernest Bertya,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
a shrub,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
a shrub,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
a shrub,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Tasmanian Bertya,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
Desert Bettong,Extinct,-,-,Yes,-,-,-,-,Yes,Animalia,Mammalia
"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,-,Yes,-,Yes,Yes,-,Yes,-,Animalia,Mammalia
"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Mammalia
"Boodie (inland), Burrowing Bettong (inland)",Extinct,-,Yes,Yes,Yes,Yes,-,-,Yes,Animalia,Mammalia
"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,-,Yes,-,-,Yes,-,-,Yes,Animalia,Mammalia
