Species,Common_name,Official_country,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Cost_estimate_per_year_2017_USD_exchange_rate,Impacted_sector,Type_of_cost,Method_reliability
Canis lupus,Dingo/feral dog,Australia,2000,2000,13617059.93,Authorities-Stakeholders/Public and social welfare,Control,Low
Canis lupus,Dingo/feral dog,Australia,2000,2000,1237914.54,Authorities-Stakeholders,Research,Low
Canis lupus,Dingo/feral dog,Australia,2000,2000,16505527.19,Agriculture,Damage-Loss,Low
Canis lupus,Dog,Australia,2004,2004,46096891.07,Agriculture,Damage-Loss,High
Mus musculus,House mouse,Australia,2004,2004,22055883.08,Agriculture,Damage-Loss,High
Mus musculus,House mouse,Australia,1993,1993,32644748.48,Agriculture,Control/Damage-Loss,Low
Mus musculus,House mouse,Australia,2000,2000,412638.18,Agriculture,Damage-Loss,Low
Mus musculus,House mouse,Australia,2000,2000,8252763.59,Authorities-Stakeholders/Public and social welfare,Control,Low
Mus musculus,House mouse,Australia,2000,2000,2063190.90,Authorities-Stakeholders/Public and social welfare,Research,Low
Capra hircus,Feral goat,Australia,2004,2004,4037056.92,Agriculture,Damage-Loss,High
Capra hircus,Feral goat,Australia,2000,2000,1650552.72,Authorities-Stakeholders,Control,Low
Capra hircus,Feral goat,Australia,2000,2000,1237914.54,Authorities-Stakeholders,Research,Low
Capra hircus,Feral goat,Australia,1996,1996,21768528.87,Agriculture,Damage-Loss,High
Capra hircus,Feral goat,Australia,1989,1989,9381500.45,Agriculture,Damage-Loss,Low
Capra hircus,Feral goat,Australia,1993,1993,1400278.96,Authorities-Stakeholders,Control,High
Equus caballus,Wild Horse,Australia,2004,2004,477193.49,Authorities-Stakeholders,Research,High
Camelus dromedarius,Dromedary camel,Australia,2004,2004,200421.27,Agriculture,Damage-Loss,High
Rattus rattus,Black rat,Australia,1998,1998,2833956.81,Agriculture,Damage-Loss,High
Myocastor coypus,Nutria,Italy,1995,2000,252514.54,Agriculture,Damage-Loss,High
Myocastor coypus,Nutria,Italy,1995,2000,664649.21,Authorities-Stakeholders,Control,High
Myocastor coypus,Nutria,Italy,2006,2006,16693432.63,Agriculture/Authorities-Stakeholders/Public and social welfare,Control/Damage-Loss,High
Myocastor coypus,Nutria,United Kingdom,1981,1992,675072.93,Authorities-Stakeholders,Eradication,High
Sus scrofa,Feral pig,United States of America,2004,2004,650305.52,Environment,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,2004,2004,2772353.75,Authorities-Stakeholders,Damage repair,High
Sus scrofa,Feral pig,United States of America,2003,2003,3310479.35,Environment,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,2003,2003,9732.98,Authorities-Stakeholders,Control,High
Sus scrofa,Feral pig,Australia,2003,2003,69.19,Authorities-Stakeholders,Control,Low
Sus scrofa,Feral pig,United States of America,2003,2003,13733.80,Environment,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,2003,2003,15865.76,Environment,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,2003,2003,21311.58,Environment,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,2000,2000,7229.24,Authorities-Stakeholders,Control,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2001,2001,5011964.40,Authorities-Stakeholders,Control,Low
Canis lupus,Wild dogs,Australia,1988,1988,6477797.69,Agriculture,Damage-Loss,Low
Canis lupus,Wild dogs,Australia,1985,1985,4397977.57,Agriculture,Damage-Loss,Low
Canis lupus,Wild dogs,Australia,1977,1985,2466.57,Agriculture,Damage-Loss,Low
Canis lupus,Dingo,Australia,1995,1995,16097257.68,Agriculture,Damage-Loss,Low
Canis lupus,Dingo,Australia,1995,1995,357716.84,Authorities-Stakeholders,Control,Low
Canis lupus,Dingo,Australia,1997,1997,9633.56,Authorities-Stakeholders,Control,Low
Canis lupus,Dingo,Australia,1997,1997,4193.43,Authorities-Stakeholders,Control,Low
Canis lupus,Dingo,Australia,1997,1997,3060.07,Authorities-Stakeholders,Control,Low
Canis lupus,Dingo/Wild dogs,Australia,1999,1999,4747.01,Authorities-Stakeholders,Control,Low
Canis lupus,Dingo/Wild dogs,Australia,1994,1994,1088.16,Authorities-Stakeholders,Control,Low
Canis lupus,Dingo/Wild dogs,Australia,1994,1994,278.08,Authorities-Stakeholders,Control,Low
Canis lupus,Wild dogs,Australia,1988,1988,214154.04,Authorities-Stakeholders,Control,High
Canis lupus,Dingo/Wild dogs,Australia,2001,2001,776.85,Agriculture,Damage-Loss,Low
Canis lupus,Dingo/Wild dogs,Australia,2001,2001,2130.08,Authorities-Stakeholders,Control,Low
Erythrocebus patas/Macaca mulatta,Patas monkeys/Rhesus macaques,United States of America,2002,2006,366461.68,Agriculture,Damage-Loss,High
Erythrocebus patas/Macaca mulatta,Patas monkeys/Rhesus macaques,United States of America,2002,2006,1493050.30,Authorities-Stakeholders,Prevention,High
Erythrocebus patas/Macaca mulatta,Patas monkeys/Rhesus macaques,United States of America,2002,2006,44852.21,Authorities-Stakeholders,Control,High
Erythrocebus patas/Macaca mulatta,Patas monkeys/Rhesus macaques,United States of America,2002,2006,215218.71,Agriculture,Damage-Loss,High
Felis catus,Feral Cat,Australia,2013,2013,12100405.65,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,Australia,2013,2013,29461.86,Authorities-Stakeholders,Control,High
Sus scrofa,Feral pig,Australia,2004,2004,3340.35,Authorities-Stakeholders,Control,High
Capra hircus/Sus scrofa,Feral pig/Feral goat,New Zealand,2004,2004,3006.32,Authorities-Stakeholders,Control,High
Sus scrofa,Feral pig,Australia,2004,2004,3722.11,Authorities-Stakeholders,Control,High
Capra hircus,Feral goat,Australia,2004,2004,4008.43,Authorities-Stakeholders,Control,High
Capra hircus,Feral goat,Australia,2004,2004,3244.92,Authorities-Stakeholders,Control,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2004,2004,3674.39,Authorities-Stakeholders,Control,High
Vulpes vulpes,Red fox,Australia,2004,2004,5917.20,Authorities-Stakeholders,Control,High
Vulpes vulpes,Red fox,Australia,2004,2004,6489.83,Authorities-Stakeholders,Control,High
Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,2004,2004,9543.87,Authorities-Stakeholders,Control,High
Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,2004,2004,8971.24,Authorities-Stakeholders,Control,High
Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,2004,2004,10116.50,Authorities-Stakeholders,Control,High
Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,2004,2004,7635.10,Authorities-Stakeholders,Control,High
Capra hircus/Felis catus/Oryctolagus cuniculus/Sus scrofa/Vulpes vulpes,Feral goat/Feral cat/Common rabbit/Feral pig/European red fox,New Zealand,2004,2004,47719.35,Authorities-Stakeholders,Control,High
Canis lupus,Dingo,Australia,2004,2004,2767.72,Authorities-Stakeholders,Control,High
Canis lupus,Dingo,Australia,2004,2004,4390.18,Authorities-Stakeholders,Control,High
Canis lupus,Dingo,Australia,2004,2004,6871.59,Authorities-Stakeholders,Control,High
Felis catus,Feral Cat,Australia,2013,2013,16572294.70,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,Australia,2013,2013,35459.45,Authorities-Stakeholders,Eradication,High
Oryctolagus cuniculus,European (common) rabbit,Australia,1999,1999,1139283.34,Agriculture,Damage-Loss,Low
Oryctolagus cuniculus,European (common) rabbit,Australia,1987,1995,531665.56,Agriculture,Damage-Loss,Low
Myocastor coypus,Nutria,Italy,1998,2000,2370.38,Authorities-Stakeholders,Control,High
Cervus elaphus,Red deer,United Kingdom,1989,1989,6470518.74,Agriculture,Damage-Loss,Low
Cervus elaphus,Red deer,United Kingdom,1989,1989,6470.52,Agriculture,Damage-Loss,Low
Cervus sp.,Deers,United Kingdom,1990,1990,4598934.83,Authorities-Stakeholders,Control,High
Myocastor coypus,Nutria,France,1997,1997,4467.81,Agriculture,Damage-Loss,Low
Myocastor coypus,Nutria,France,1990,1990,241167.69,Authorities-Stakeholders,Control,Low
Trichosurus vulpecula,Common brushtail possum,New Zealand,1980,1987,135262.03,Authorities-Stakeholders,Eradication,High
Rattus norvegicus,Brown rat,New Zealand,1986,1986,231.45,Authorities-Stakeholders,Eradication,High
Rattus norvegicus,Brown rat,New Zealand,2003,2003,283.19,Authorities-Stakeholders,Eradication,High
Rattus norvegicus,Brown rat,New Zealand,2003,2003,88.21,Authorities-Stakeholders,Eradication,High
Rattus norvegicus,Brown rat,New Zealand,1988,1988,91906.72,Authorities-Stakeholders,Eradication,High
Rattus exulans,Polynesian rat,New Zealand,1986,1986,3696.15,Authorities-Stakeholders,Eradication,High
Rattus exulans,Polynesian rat,New Zealand,1991,1991,8809.51,Authorities-Stakeholders,Eradication,High
Rattus exulans/Rattus norvegicus,Polynesian rat/Brown rat,New Zealand,2003,2003,386874.76,Authorities-Stakeholders,Eradication,High
Rattus exulans/Rattus norvegicus,Polynesian rat/Brown rat,New Zealand,2003,2003,112967.43,Authorities-Stakeholders,Eradication,High
Rattus norvegicus,Brown rat,New Zealand,1985,1985,855.93,Authorities-Stakeholders,Eradication,Low
Rattus norvegicus,Brown rat,New Zealand,1986,1988,37989.74,Authorities-Stakeholders,Eradication,High
Rattus exulans/Rattus norvegicus/Rattus rattus,Polynesian rat/Black rat/Brown rat,Diverse/Unspecified,2017,2017,17262.00,Authorities-Stakeholders,Control,High
Cervus sp.,Deers,New Zealand,2004,2004,37177.63,Authorities-Stakeholders,Harvesting,High
Cervus sp.,Deers,New Zealand,2004,2004,111.82,Authorities-Stakeholders,Harvesting,High
Sus scrofa,Feral pig,United States of America,1990,2003,231771.70,Agriculture/Public and social welfare,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,1990,2003,38684.05,Authorities-Stakeholders,Control,High
Canis lupus/Vulpes vulpes,Dingo/Dog/Red fox,Australia,2006,2006,26553027.36,Agriculture/Environment,Damage-Loss,High
Diverse/Unspecified,NA,New Zealand,2002,2002,25210018.96,Authorities-Stakeholders,Control,High
Vulpes vulpes,Red fox,Australia,1998,1998,601489.70,Authorities-Stakeholders,Control,Low
Trichosurus vulpecula,Common brushtail possum,New Zealand,2000,2000,8540752.03,Authorities-Stakeholders,Control,Low
Capra hircus,Feral goat,New Zealand,2003,2003,19343737.97,Authorities-Stakeholders,Control,Low
Trichosurus vulpecula,Common brushtail possum,New Zealand,2002,2002,7578131.70,Authorities-Stakeholders,Control,High
Capra hircus,Feral goat,New Zealand,2002,2002,3974359.49,Authorities-Stakeholders,Control,High
Cervus sp.,Deers,New Zealand,2001,2001,59625.75,Authorities-Stakeholders,Eradication,Low
Mustela putorius/Trichosurus vulpecula,European domestic ferret/Common brushtail possum,New Zealand,2002,2002,34033525.59,Authorities-Stakeholders,Funding,Low
Diverse/Unspecified,Diverse (possum/rabbit/deer/goat/mustelids/dama wallaby/cats/rats/hare/feral cattle/Bennett's wallaby/chinchilla/cigs/Bengal cats),New Zealand,2003,2003,12534742.21,Authorities-Stakeholders,Control,High
Oryctolagus cuniculus,European (common) rabbit,New Zealand,1997,2003,386874.76,Agriculture,Damage-Loss,High
Mustela erminea,Stoat,New Zealand,2003,2003,1547499.04,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse (rodents/ferret/possum/stoat/rabbit/deer/birds/pig/goat/cat),New Zealand,2001,2001,8007753.18,Authorities-Stakeholders,Research,High
Diverse/Unspecified,Mammalian pests,Australia,1997,1997,3054132.49,Authorities-Stakeholders,Research,Low
Diverse/Unspecified,Mammalian pests,Australia,1997,1997,7635331.22,Authorities-Stakeholders,Control,Low
Diverse/Unspecified,Mammals,Australia,2010,2017,3682670.77,Authorities-Stakeholders,Eradication,High
Mustela erminea/Trichosurus vulpecula,Stoat/Rats/Common brushtail possum,New Zealand,2016,2016,4976667.79,Authorities-Stakeholders,Funding,High
Diverse/Unspecified,Rodents,New Zealand,2016,2016,229.93,Authorities-Stakeholders,Control,High
Diverse/Unspecified,NA,New Zealand,2016,2016,191606401.57,Authorities-Stakeholders,Control,High
Sus scrofa,Feral pig,United States of America,2005,2007,2305284.15,Authorities-Stakeholders,Eradication,Low
Sus scrofa,Feral pig,United States of America,1990,2001,232103.48,Authorities-Stakeholders,Eradication,High
Sus scrofa,Feral pig,United States of America,1990,2001,393395.11,Authorities-Stakeholders,Eradication,Low
Sus scrofa,Feral pig,United States of America,1990,2005,253503.31,Authorities-Stakeholders,Eradication,High
Sus scrofa,Feral pig,New Zealand,2016,2016,58973645.41,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,United States of America,2010,2010,1429312.95,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,United States of America,1996,2004,26151.74,Authorities-Stakeholders,Eradication,Low
Felis catus,Cats/Rodents,New Zealand,2002,2005,237650.72,Authorities-Stakeholders,Eradication,Low
Felis catus,Feral Cat,Australia,1975,2000,111794.28,Authorities-Stakeholders,Eradication,Low
Felis catus,Feral Cat,Ecuador,2001,2004,41131.86,Authorities-Stakeholders,Eradication,Low
Felis catus,Feral Cat,United Kingdom,2002,2006,231386.89,Authorities-Stakeholders,Eradication/Monitoring,High
Felis catus,Feral Cat,Australia,2010,2010,29227.00,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,New Zealand,2016,2016,65368378.05,Authorities-Stakeholders,Eradication,High
Mus musculus/Oryctolagus cuniculus/Rattus rattus,House mouse/European rabbit/Black rat,Australia,2007,2007,23741428.28,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,Ecuador,2009,2009,7287528.10,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,Ecuador,2009,2009,649314.60,Authorities-Stakeholders,Monitoring,High
Capra hircus,Feral goat,Ecuador,2006,2009,1409146.92,Authorities-Stakeholders,Eradication,High
Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,2005,2005,11185.36,Authorities-Stakeholders,Control,High
Mus musculus/Trichosurus vulpecula,House mouse/Common brushtail possum,New Zealand,1994,1994,165369.93,Authorities-Stakeholders,Control,Low
Rattus rattus,Black rat,Australia,2008,2008,1003066.70,Authorities-Stakeholders,Eradication,High
Rattus rattus,Black rat,Australia,2010,2010,358377.57,Authorities-Stakeholders,Prevention/Surveillance,High
Sus scrofa,Feral pig,United States of America,2008,2008,14318.64,Authorities-Stakeholders,Eradication,High
Sus scrofa,Feral pig,United States of America,2007,2007,387175.25,Environment,Damage-Loss,High
Felis catus,Feral Cat,Australia,2010,2010,11162.18,Authorities-Stakeholders,Control,High
Felis catus,Feral Cat,United States of America,2010,2010,154.00,Authorities-Stakeholders,Control,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2010,2010,344.40,Agriculture,Damage-Loss,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2010,2025,8.08,Authorities-Stakeholders,Control,High
Felis catus,Feral Cat,Australia,2016,2016,500352.62,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,Australia,2016,2016,301491.75,Authorities-Stakeholders,Eradication,High
Ovis aries,Sheep,Australia,2016,2016,588540.28,Authorities-Stakeholders,Eradication,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2016,2016,976479.58,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,Australia,2016,2016,18520.95,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,Australia,2016,2016,114391.82,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rat,Australia,2016,2016,109242.85,Authorities-Stakeholders,Eradication,High
Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,2004,2004,1213341.24,Authorities-Stakeholders,Prevention,High
Vulpes vulpes,Red fox,Australia,2000,2014,2177791.97,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Australia,2014,2014,8400054.75,Authorities-Stakeholders,Eradication,High
Neovison vison,American mink,Spain,2010,2010,6459255.53,Authorities-Stakeholders,Eradication,High
Myocastor coypus,Nutria,Italy,1997,2005,55633.05,Agriculture,Damage-Loss,High
Myocastor coypus,Nutria,Italy,1997,2005,52093.48,Agriculture,Damage-Loss,High
Myocastor coypus,Nutria,Italy,1995,2000,2888389.45,Public and social welfare,Damage-Loss,High
Felis catus,Feral Cat,United Kingdom,2003,2003,1086846.57,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Seychelles,1996,1996,6887.55,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United Kingdom,2001,2001,4265.25,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1990,1990,65019.37,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,2003,2003,1665226.64,Authorities-Stakeholders,Eradication,High
Gallirallus australis/Rattus sp.,Weka/Rat,New Zealand,1996,1996,58333.02,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Seychelles,2000,2000,89662.13,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1993,1993,22609.41,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Seychelles,2000,2000,75942.99,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United Kingdom,2001,2001,493.02,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1989,1989,4358.52,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1989,1989,2557.02,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United Kingdom,1998,1998,42893.65,Authorities-Stakeholders,Eradication,High
Diverse/Unspecified,Cattle,New Zealand,1993,1993,14254.80,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Mauritius,1998,1998,85785.97,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Seychelles,2000,2000,82501.42,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,New Zealand,1987,1987,43938.31,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Antigua and Barbuda,2001,2001,21472.81,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1986,1986,48103.62,Authorities-Stakeholders,Eradication,High
Trichosurus vulpecula,Common brushtail possum,New Zealand,1986,1986,199202.11,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1987,1987,5140.68,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,Australia,2001,2001,64125.28,Authorities-Stakeholders,Eradication,High
Felis catus,Feral Cat,Australia,2000,2000,3139773.66,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1991,1991,28809.41,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1996,1996,10983.58,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1991,1991,10936.94,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United Kingdom,2001,2001,1192.56,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United States of America,2001,2001,147913.87,Authorities-Stakeholders,Eradication,High
Felis catus/Rattus sp.,Cat/Rats,United Kingdom,1998,1998,300251.56,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United Kingdom,2000,2000,38604.42,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,New Zealand,1986,1986,734819.10,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1992,1992,32147.25,Authorities-Stakeholders,Eradication,High
Oryctolagus cuniculus,European (common) rabbit,Mauritius,1986,1986,64339.81,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1984,1984,9815.00,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Australia,1986,1986,68826.25,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,Indonesia,2003,2003,3730.93,Authorities-Stakeholders,Eradication,High
Oryctolagus cuniculus/Rattus sp.,European rabbit/Rats,New Zealand,1992,1992,22737.33,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,New Zealand,1983,1983,5629.70,Authorities-Stakeholders,Eradication,High
Rattus sp.,Rats,United Kingdom,2000,2000,3962.78,Authorities-Stakeholders,Eradication,High
Felix catus/Rattus sp.,Cat/Rats,New Zealand,2001,2001,89999.25,Authorities-Stakeholders,Eradication,High
Neovison vison,American mink,Spain,2007,2007,27780.27,Authorities-Stakeholders,Control/Eradication,High
Neovison vison,American mink,Spain,2007,2007,149401.70,Authorities-Stakeholders,Eradication,High
Rattus rattus,Black rat,Australia,2004,2004,649695.59,Authorities-Stakeholders,Eradication,Low
Rattus rattus,Black rat,Australia,2004,2004,50611.47,Authorities-Stakeholders,Control,Low
Sus scrofa,Feral pig,United States of America,2003,2005,3446522.36,Environment/Health,Damage-Loss,High
Sus scrofa,Feral pig,United States of America,2004,2004,97357.40,Authorities-Stakeholders,Eradication,High
Sus scrofa,Feral pig,United States of America,2005,2005,2642558.00,Environment/Health,Damage-Loss,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2008,2008,196722906.68,Agriculture,Damage-Loss,High
Hystrix brachyura,Himalayan porcupines,United Kingdom,1989,1989,259834.21,Authorities-Stakeholders,Eradication,Low
Capra hircus,Feral goat,Ecuador,2009,2011,2383382.54,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,Ecuador,1999,2003,44351.57,Authorities-Stakeholders,Eradication,High
Capra hircus,Feral goat,Ecuador,2009,2009,321902.48,Authorities-Stakeholders,Eradication,High
Mus musculus/Oryctolagus cuniculus/Rattus rattus,House mouse/European rabbit/Black rat,Australia,2011,2019,3054235.83,Authorities-Stakeholders,Funding,Low
Canis lupus,Wild dogs,Australia,2008,2008,1346501.45,Authorities-Stakeholders,Control/Prevention,High
Canis lupus,Wild dogs,Australia,2008,2008,1108715.02,Authorities-Stakeholders,Control/Prevention,High
Canis lupus,Wild dogs,Australia,2008,2008,4044279.17,Authorities-Stakeholders,Control/Prevention,High
Canis lupus,Wild dogs,Australia,2008,2008,1890831.82,Authorities-Stakeholders,Control/Prevention,High
Canis lupus,Wild dogs,Australia,2008,2008,429734.50,Authorities-Stakeholders,Control/Prevention,High
Canis lupus,Wild dogs,Australia,2008,2008,172848.77,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Foxes,Australia,2008,2008,1212806.27,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Foxes,Australia,2008,2008,1056191.92,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Foxes,Australia,2008,2008,2276637.91,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Foxes,Australia,2008,2008,945415.91,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Foxes,Australia,2008,2008,2100924.25,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Foxes,Australia,2008,2008,23874.14,Authorities-Stakeholders,Control/Prevention,High
Sus sp.,Feral pigs,Australia,2008,2008,506131.75,Authorities-Stakeholders,Control/Prevention,High
Sus sp.,Feral pigs,Australia,2008,2008,86901.87,Authorities-Stakeholders,Control/Prevention,High
Sus sp.,Feral pigs,Australia,2008,2008,179533.53,Authorities-Stakeholders,Control/Prevention,High
Sus sp.,Feral pigs,Australia,2008,2008,945415.91,Authorities-Stakeholders,Control/Prevention,High
Sus sp.,Feral pigs,Australia,2008,2008,176668.63,Authorities-Stakeholders,Control/Prevention,High
Sus sp.,Feral pigs,Australia,2008,2008,202452.70,Authorities-Stakeholders,Control/Prevention,High
Capra hircus,Feral goats,Australia,2008,2008,315138.64,Authorities-Stakeholders,Control/Prevention,High
Capra hircus,Feral goats,Australia,2008,2008,626457.41,Authorities-Stakeholders,Control/Prevention,High
Capra hircus,Feral goats,Australia,2008,2008,954010.60,Authorities-Stakeholders,Control/Prevention,High
Capra hircus,Feral goats,Australia,2008,2008,95496.56,Authorities-Stakeholders,Control/Prevention,High
Capra hircus,Feral goats,Australia,2008,2008,1909.93,Authorities-Stakeholders,Control/Prevention,High
Oryctolagus cuniculus,Rabbits,Australia,2008,2008,17189.38,Authorities-Stakeholders,Control/Prevention,High
Oryctolagus cuniculus,Rabbits,Australia,2008,2008,1010353.57,Authorities-Stakeholders,Control/Prevention,High
Oryctolagus cuniculus,Rabbits,Australia,2008,2008,1752361.81,Authorities-Stakeholders,Control/Prevention,High
Oryctolagus cuniculus,Rabbits,Australia,2008,2008,735323.49,Authorities-Stakeholders,Control/Prevention,High
Oryctolagus cuniculus,Rabbits,Australia,2008,2008,183353.39,Authorities-Stakeholders,Control/Prevention,High
Felis catus,Feral cats,Australia,2008,2008,133695.18,Authorities-Stakeholders,Control/Prevention,High
Felis catus,Feral cats,Australia,2008,2008,71622.42,Authorities-Stakeholders,Control/Prevention,High
Felis catus,Feral cats,Australia,2008,2008,630277.27,Authorities-Stakeholders,Control/Prevention,High
Felis catus,Feral cats,Australia,2008,2008,1575693.18,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Camel,Australia,2008,2008,128920.35,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Camel,Australia,2008,2008,315138.64,Authorities-Stakeholders,Control/Prevention,High
Diverse/Unspecified,Camel,Australia,2008,2008,38198.62,Authorities-Stakeholders,Control/Prevention,High
Equus asinus,Donkeys,Australia,2008,2008,9549.66,Authorities-Stakeholders,Control/Prevention,High
Equus asinus,Donkeys,Australia,2008,2008,315138.64,Authorities-Stakeholders,Control/Prevention,High
Equus asinus,Donkeys,Australia,2008,2008,128920.35,Authorities-Stakeholders,Control/Prevention,High
